Model,MDO3104
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,-2.18e-05,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,500
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,250
Vertical Position,-0.66,-0.66
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.218000e-04,0.0090625,5.625
-1.217800e-04,0.0151562,5.35156
-1.217600e-04,0.00765625,7.26562
-1.217400e-04,0.0176563,3.67188
-1.217200e-04,0.0210938,7.22656
-1.217000e-04,0.015625,7.30469
-1.216800e-04,0.0134375,7.10938
-1.216600e-04,0.0178125,6.5625
-1.216400e-04,0.0128125,6.25
-1.216200e-04,0.00890625,6.09375
-1.216000e-04,0.016875,5.70312
-1.215800e-04,0.0160938,5.50781
-1.215600e-04,0.013125,6.48438
-1.215400e-04,0.0132813,8.00781
-1.215200e-04,0.0182813,4.84375
-1.215000e-04,0.0117188,6.48438
-1.214800e-04,0.010625,5.19531
-1.214600e-04,0.01,5.66406
-1.214400e-04,0.0107812,8.78906
-1.214200e-04,0.0132813,5.03906
-1.214000e-04,0.005625,6.83594
-1.213800e-04,0.02125,5.3125
-1.213600e-04,0.0142188,8.32031
-1.213400e-04,0.0170313,8.63281
-1.213200e-04,0.0190625,7.30469
-1.213000e-04,0.0210938,8.35938
-1.212800e-04,0.0120313,6.60156
-1.212600e-04,0.0140625,6.75781
-1.212400e-04,0.0115625,5.97656
-1.212200e-04,0.01,7.03125
-1.212000e-04,0.0135938,6.875
-1.211800e-04,0.0117188,7.53906
-1.211600e-04,0.0153125,6.83594
-1.211400e-04,0.0078125,8.00781
-1.211200e-04,0.0190625,4.41406
-1.211000e-04,0.0114063,3.63281
-1.210800e-04,0.0109375,6.05469
-1.210600e-04,0.0170313,7.03125
-1.210400e-04,0.0128125,5.9375
-1.210200e-04,0.0153125,8.28125
-1.210000e-04,0.0129687,6.01562
-1.209800e-04,0.00796875,7.30469
-1.209600e-04,0.0126563,6.91406
-1.209400e-04,0.0120313,6.875
-1.209200e-04,0.0151562,6.32812
-1.209000e-04,0.00953125,6.32812
-1.208800e-04,0.0176563,7.07031
-1.208600e-04,0.0148438,7.10938
-1.208400e-04,0.0146875,6.79688
-1.208200e-04,0.0210938,10.1172
-1.208000e-04,0.0157812,5.66406
-1.207800e-04,0.0189063,6.09375
-1.207600e-04,0.02,7.53906
-1.207400e-04,0.0129687,9.49219
-1.207200e-04,0.019375,7.22656
-1.207000e-04,0.00890625,9.17969
-1.206800e-04,0.0071875,5.23438
-1.206600e-04,0.0184375,7.07031
-1.206400e-04,0.0179687,6.44531
-1.206200e-04,0.0101562,8.28125
-1.206000e-04,0.011875,6.21094
-1.205800e-04,0.0090625,6.67969
-1.205600e-04,0.0153125,6.60156
-1.205400e-04,0.0151562,5.70312
-1.205200e-04,0.00390625,5.89844
-1.205000e-04,0.021875,5.42969
-1.204800e-04,0.0135938,6.5625
-1.204600e-04,0.0125,6.91406
-1.204400e-04,0.016875,8.28125
-1.204200e-04,0.0207812,8.00781
-1.204000e-04,0.0182813,5.11719
